Pedestal Latitude (deg):  ,32.70326358,,,,,,,,,,,,
Pedestal Longitude (deg): ,-117.2549643,,,,,,,,,,,,
Pedestal Height (m):      ,121.1730672,,,,,,,,,,,,
Date(mm dd yy),Time(hh mm ss.fsec,Latitude(deg),Longitude(deg),GPSAlt(m),GPSHdg(deg),Tgt Aspect(deg),Range(NMi),Azimuth(deg),Elevation(deg),Tgt Command Alt(m),,,
03 06 98,08 54 42.000318123,32.77117118,-117.2683348,-18,271.6,78.81,4.1464,170.41,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 43.000331409,32.7711734,-117.2682723,-22,270.5,79.96,4.146,170.46,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 44.000344696,32.77117479,-117.2682126,-26,270.7,79.8,4.1456,170.5,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 45.000357984,32.77117506,-117.2681579,-29,271,79.54,4.1451,170.54,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 46.000371270,32.77117284,-117.2680979,-37,272.6,77.98,4.1445,170.58,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 47.000384549,32.77117368,-117.2680398,-42,272,78.62,4.1441,170.62,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 48.000397838,32.77117201,-117.2679804,-44,273.1,77.56,4.1435,170.66,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 49.000411115,32.77116729,-117.2679209,-46,275.4,75.3,4.1427,170.7,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 50.000424407,32.77116645,-117.2678634,-46,273.2,77.54,4.1422,170.74,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 51.000437692,32.77116979,-117.2678029,-50,272.1,78.68,4.1419,170.78,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 52.000450982,32.77116868,-117.267749,-56,273.1,77.72,4.1414,170.82,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 53.000464270,32.77117562,-117.2676912,-52,269.3,81.56,4.1414,170.86,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 54.000477567,32.77117784,-117.2676279,-54,270.6,80.3,4.141,170.9,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 55.000490858,32.77117812,-117.2675657,-58,270.7,80.25,4.1405,170.95,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 56.000504154,32.77118173,-117.2675059,-56,269.6,81.39,4.1402,170.99,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 57.000517442,32.77118256,-117.2674487,-57,270.9,80.13,4.1398,171.03,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 58.000530735,32.77118062,-117.2673893,-60,272.1,78.97,4.1393,171.07,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 54 59.000544022,32.77118034,-117.2673451,-61,272,79.1,4.1389,171.1,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 00.000557316,32.77117923,-117.2672898,-63,273.1,78.04,4.1384,171.14,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 01.000570609,32.77117923,-117.2672296,-67,272.4,78.78,4.1379,171.18,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 02.000583898,32.77118006,-117.2671673,-69,271.8,79.43,4.1375,171.23,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 03.000597193,32.77118062,-117.2671023,-67,272,79.27,4.137,171.27,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 04.000610482,32.77117951,-117.2670409,-68,272.5,78.81,4.1365,171.31,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 05.000623771,32.77118145,-117.2669787,-69,271,80.36,4.1362,171.36,-0.31,0,,-0.067907593,0.013370556
